run_id,run_key,design_id,split,overall_minimum,threshold,signed_margin,absolute_margin,recorded_breach,reproduced_breach,polarity_match,exact_threshold
209,D041-R04,D041,train,0.33333333333333331,0.80000000000000004,-0.46666666666666673,0.46666666666666673,True,True,True,False
210,D042-R00,D042,validation,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
211,D042-R01,D042,validation,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
212,D042-R02,D042,validation,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
213,D042-R03,D042,validation,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
214,D042-R04,D042,validation,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
215,D043-R00,D043,train,0.20000000000000001,0.80000000000000004,-0.60000000000000009,0.60000000000000009,True,True,True,False
216,D043-R01,D043,train,0.20000000000000001,0.80000000000000004,-0.60000000000000009,0.60000000000000009,True,True,True,False
217,D043-R02,D043,train,0.10000000000000001,0.80000000000000004,-0.70000000000000007,0.70000000000000007,True,True,True,False
218,D043-R03,D043,train,0.5,0.80000000000000004,-0.30000000000000004,0.30000000000000004,True,True,True,False
219,D043-R04,D043,train,0.20000000000000001,0.80000000000000004,-0.60000000000000009,0.60000000000000009,True,True,True,False
220,D044-R00,D044,train,0.40000000000000002,0.80000000000000004,-0.40000000000000002,0.40000000000000002,True,True,True,False
221,D044-R01,D044,train,0.40000000000000002,0.80000000000000004,-0.40000000000000002,0.40000000000000002,True,True,True,False
222,D044-R02,D044,train,0.22500000000000001,0.80000000000000004,-0.57500000000000007,0.57500000000000007,True,True,True,False
223,D044-R03,D044,train,0.29999999999999999,0.80000000000000004,-0.5,0.5,True,True,True,False
224,D044-R04,D044,train,0.40000000000000002,0.80000000000000004,-0.40000000000000002,0.40000000000000002,True,True,True,False
225,D045-R00,D045,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
226,D045-R01,D045,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
227,D045-R02,D045,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
228,D045-R03,D045,train,0.022222222222222223,0.80000000000000004,-0.77777777777777779,0.77777777777777779,True,True,True,False
229,D045-R04,D045,train,0.022222222222222223,0.80000000000000004,-0.77777777777777779,0.77777777777777779,True,True,True,False
230,D046-R00,D046,test,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
231,D046-R01,D046,test,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
232,D046-R02,D046,test,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
233,D046-R03,D046,test,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
234,D046-R04,D046,test,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
235,D047-R00,D047,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
